Solution,Power,Latency,Cost
0,144.49556519250842,736.210773465961,46.13584171960534
1,133.35240168972604,819.5034084144611,40.237073140926064
2,141.09301888872452,740.9355874901395,45.10153869169605
3,138.5190967112322,746.9486948498665,43.50178548242171
4,131.3479715175941,771.4053944722496,41.35113654339916
5,141.43691427852866,747.5410928823668,40.78316332588441
6,138.0821440929025,762.2616859447666,42.57559406547653
7,139.4559665918129,760.7051938674861,43.09945540140436
8,135.8067590652019,751.1001202504464,44.46172198597518
9,134.89011767570963,767.0549670843903,43.43592923486549
10,139.66219437032672,764.4944412249997,41.89749010413509
11,148.6222755385436,743.2357815325474,43.03307255248122
12,137.8217468395824,748.1724268813233,44.447364993688666
13,148.34467398672376,739.8882838735548,44.59972992305264
14,140.36767325473974,741.6750220731923,45.30692995822585
15,153.30227323826608,712.0719152781132,44.423177574417586
