Solution,Power,Latency,Cost
0,135.12630111069922,753.4915093615344,44.368921203782605
1,138.8511312298275,767.4671864271718,41.45607575564422
2,136.97626286751563,776.3456824854359,43.3331168979024
3,137.75395381273447,777.977703852544,41.134933017211424
4,135.76941973556418,769.2150182783103,43.71015104232155
5,134.75620917623746,778.3289058006222,42.829910355511124
6,132.08069903633304,778.4464202837297,41.85187950951738
7,159.57688242932358,729.4265087067865,49.079715307907755
8,139.17193250009132,762.4680364604764,42.128002650127506
9,136.10560734945796,759.7294951064708,43.48202118921638
10,138.21925742387805,757.3631867185034,43.10807139201327
11,141.8982502986074,746.3920329366905,43.71525867701539
12,141.63201955834046,733.9491683174814,44.64103349308255
