Model,Trial,UD,NDC,ER,ONVG,MS,GD,IDG,MPFE,S,STE,HV,HAR
NSGA-II,0,1.0,,0.1134020618556701,0,0.2885628773244609,3.895889097653733,,32.52389309174781,12.655664220986829,1.8327563798697846,8318857.03274978,0.818688222009049
NSGA-II,1,1.0,,0.10309278350515463,0,0.32583652391146645,3.660519237350088,,25.01241589896756,3.304327252072816,0.19040687565102296,8625597.0235465,0.848875592304729
NSGA-II,2,1.0,,0.09278350515463918,0,0.3292857116330233,3.9889675152559354,,25.44675237682275,11.66912180059079,1.510766051260977,8530540.397682382,0.8395207326512327
NSGA-II,3,1.0,,0.1134020618556701,0,0.30418205561256534,4.004498138797628,,33.5874410602095,4.9566447856707825,0.31731477164299404,8281453.652438516,0.8150072227078703
NSGA-II,4,1.0,,0.08247422680412371,0,0.2717821733783797,4.605376638477809,,32.316994347946896,11.162682366276153,2.481661692711736,8322275.967932842,0.8190246915450881
NSGA-II,5,1.0,,0.14432989690721648,0,0.2712898642526912,3.3173375103561296,,36.59984187840026,5.691698408690517,0.42887378901170964,8264904.575070815,0.8133785693156176
NSGA-II,6,1.0,,0.15463917525773196,0,0.23706066531747993,3.0766467295322824,,44.103015554810675,6.583709450364486,0.6832221377438101,8098261.137838663,0.796978597684903
NSGA-II,7,1.0,,0.10309278350515463,0,0.3070607641565474,3.9929561959820594,,35.29371652296282,10.69285819619512,1.386275437134295,8282566.288328837,0.8151167211516114
NSGA-II,8,1.0,,0.1134020618556701,0,0.29614098597686517,3.64400010583358,,36.56707857320709,8.753772657210936,0.9571664511841999,8243981.535334319,0.8113194587751358
NSGA-II,9,1.0,,0.061855670103092786,0,0.287197885835542,4.123306352465341,,24.000258107862557,6.703531643358858,0.8183445356260044,8452610.46070151,0.8318513711876353
NSGA-III,0,1.0,,0.1134020618556701,0,0.32492694768569463,3.3607025148338168,,25.329792345946558,8.456470385073924,0.6579178558302532,8554276.029025804,0.8418566403061315
NSGA-III,1,1.0,,0.12371134020618557,0,0.25729267272526657,3.3976599046065155,,32.76023428884513,6.7772620918955475,0.5933148649295936,8363950.891117174,0.8231260685287081
NSGA-III,2,1.0,,0.041237113402061855,0,0.30302890081136385,5.9161024409927885,,38.74251990822294,15.405550532567204,4.1630694439026,8293917.169317325,0.8162338016036635
NSGA-III,3,1.0,,0.21649484536082475,0,0.30521044655373863,3.0647587337849402,,29.408517846584747,9.716099021249185,1.0351045422076792,8358125.456968133,0.8225527668951863
NSGA-III,4,0.7453980843034114,,0.16494845360824742,0,0.357728461101861,3.4655848506045692,,23.721375284334556,12.021251587606558,1.1394095413896488,8659692.015838034,0.8522310014082487
NSGA-III,5,1.0,,0.1134020618556701,0,0.3240868493210499,3.299922066654723,,30.393871228753568,6.7621671675833115,0.6033865062606116,8563265.979596226,0.8427413732231023
NSGA-III,6,1.0,,0.1958762886597938,0,0.2844178021375637,3.316128428512788,,37.656037970861426,10.429774032309812,1.138374756965565,8145453.661277289,0.8016229812767818
NSGA-III,7,1.0,,0.13402061855670103,0,0.3506470657302029,3.5100171009565426,,39.6776034724782,5.98330833450299,0.4591866842467134,8300198.327808815,0.8168519526858748
NSGA-III,8,1.0,,0.12371134020618557,0,0.25962187122483515,3.5864147072064525,,40.93872715274538,12.882570321550425,1.933341769071502,8173516.317417324,0.8043847267869751
NSGA-III,9,1.0,,0.16494845360824742,0,0.28963671465342555,3.082226231414003,,23.242218691193163,4.250346014889657,0.20350623479876473,8471353.836164832,0.8336959732371843
MO-ALO,0,1.0,,0.4845360824742268,2,0.4227992790611112,0.8023787558571666,,23.15444958291101,5.2629106001304855,0.21937571564033162,9456860.694599444,0.9306831981087317
MO-ALO,1,1.0,,0.07216494845360824,14,0.4146258677539433,0.8566188480755317,,7.295441359732576,3.9802181411023088,0.15350439196678406,9656214.17268225,0.9503022808601735
MO-ALO,2,1.0,,0.12371134020618557,19,0.3021076242211866,0.34866146494381567,,9.162437163995117,2.665101227323153,0.07518847805352914,9384798.518777898,0.9235913038298437
MO-ALO,3,1.0,,0.4020618556701031,0,0.4203760071399343,0.6562923651244171,,13.321077819193004,2.998467469705648,0.07487919479870213,9377749.675441504,0.9228976021595812
MO-ALO,4,0.5118768526374031,,0.32989690721649484,15,0.48513817453904357,0.4697650486964773,,7.0659669168420525,3.032658138260489,0.06454841735582612,9851975.175560921,0.9695678153866722
MO-ALO,5,0.4326520193226073,,0.24742268041237114,4,0.3671494530405222,1.0180600756183613,,6.838426947081561,9.177346069003347,0.6075671468119667,9511709.163634144,0.9360810304572332
MO-ALO,6,1.0,,0.29896907216494845,6,0.32955235678398836,0.5274615824081271,,6.320541945465722,4.182340507864767,0.16001269650557756,9792113.138982115,0.9636765800763879
MO-ALO,7,1.0,,0.4536082474226804,5,0.5093251979053314,1.0088320442519183,,22.49438984349812,3.557350558097742,0.1077755678624616,9511088.785256375,0.9360199768210102
MO-ALO,8,1.0,,0.38144329896907214,2,0.444778755268457,0.7840197957947711,,14.321086470270364,2.588773631899211,0.05527478961348557,9407261.96473889,0.9258020112096678
MO-ALO,9,1.0,,0.41237113402061853,0,0.3541220714308919,1.0451310555048114,,19.576937021349273,2.6224287048559614,0.07311632493135008,9183658.894252008,0.9037964400726723
MO-SSA,0,0.5658358702227767,,0.20618556701030927,2,0.9153268722298825,6.547574863219861,,37.965128226253434,136.29300703213727,42.4185816960401,8631303.698157607,0.849437206390962
MO-SSA,1,0.20708961480743676,,0.35051546391752575,5,0.9185896841815736,2.288696607257944,,20.52429629632557,138.67953664767847,41.63229728196745,9054777.710100595,0.8911127856850618
MO-SSA,2,0.2990375751434279,,0.26804123711340205,5,0.9103009838048326,2.294201259240354,,21.8335397206834,133.67443568566893,39.47113492720959,8810968.185930707,0.8671186257823594
MO-SSA,3,0.19737988409418633,,0.2268041237113402,4,0.9054981185446128,2.306210446037658,,30.63529457166187,128.04424617999172,38.15559205254651,8740149.762713218,0.8601491336079946
MO-SSA,4,0.13517448330784476,,0.3711340206185567,1,0.9060434724811194,3.2538809199952015,,21.670091713068313,116.25534371378416,28.839547716957018,8953120.866940109,0.8811083752408784
MO-SSA,5,0.31010010443932295,,0.31958762886597936,4,0.9507181622848387,2.7388656981779818,,18.15047665988618,128.20393469421933,34.435320772490115,9217658.143936524,0.9071424268067005
MO-SSA,6,0.16290115642752342,,0.24742268041237114,2,0.9106834205726241,1.434341672329355,,40.321544343153924,139.92090160926824,44.92014578180294,8853593.762362607,0.8713135599234032
MO-SSA,7,0.1701170963456235,,0.31958762886597936,0,0.9285539148771369,2.4615903615339856,,10.006202682292725,134.7345495465171,38.252469833837466,9441562.780739307,0.9291776761542976
MO-SSA,8,0.13921157219725033,,0.3917525773195876,2,0.8922010985351504,3.763989320596943,,17.745821510205943,117.46294247611719,29.292854298097925,9064929.267252037,0.8921118364251117
MO-SSA,9,0.1321172394677076,,0.4020618556701031,5,0.9436638094576135,2.2462931565083113,,22.47015046583609,116.67824970249882,28.453442587607746,9152972.283316841,0.9007764618656793
