Solution,Power,Latency,Cost
0,136.9425241062668,766.2076378740986,41.18163392107914
1,135.29147128211127,759.3947947755993,43.50684345534787
2,139.9776929461956,744.4954680935216,46.9617017273333
3,142.52285792731712,736.6060150054649,43.95549819111716
4,143.90737358857092,732.3515135126006,46.17814128819396
5,152.61336667055147,710.9187833657147,47.40627573510206
6,134.52934786026964,751.7538789735064,44.000234044337994
7,135.3243527430577,744.8808280582374,45.41047987016374
8,145.46680147490662,756.0102079898554,41.75797242102548
9,134.19397910902453,780.9637644526487,42.52367758495567
10,141.0410295771305,741.9691653527079,44.26918405918383
11,146.97997597630012,729.5598574595928,46.25950398951913
12,146.893456986899,731.7693241641583,46.802299299613495
13,139.19839457483533,761.1044515108092,42.89548461739814
14,137.83908346862518,765.7888932855603,42.597888693021694
15,147.32706701696486,735.4167692413525,44.974364145182854
