Solution,Power,Latency,Cost
0,142.2295049822104,734.5589075863098,42.04947065149305
1,127.91866707507188,770.116065735749,38.71607385778858
2,129.04880740284722,773.0155172998061,38.53267613714556
3,134.9665051784945,744.6251347470454,44.241321270325635
4,135.76981291604926,743.5420969574029,44.617790208075725
5,133.67786995782942,746.974697691544,43.04274347814424
6,132.58901247400328,758.4243360846801,41.646190922785614
7,126.91791736784049,777.457231320702,37.949669415544186
8,134.98030931435903,746.0891810950736,43.85717576990227
9,175.01061100787166,1064.7793966105612,34.05360974181653
10,140.20266889654107,738.6304416089763,41.75639850522161
11,135.93227902608058,756.3360771909865,41.70405180422659
12,183.19544627929696,1041.5295735123402,35.71539747984723
13,166.66542564285803,1001.0608423893494,36.99898888342091
14,181.58189369907495,1112.0335636185418,32.87471779020896
15,139.8306968139316,738.7294071334073,41.55807007564308
16,138.86449256536326,742.1671693171676,41.7891560490301
17,165.88437180145877,955.4975838679727,37.618352113727
18,180.72729652854628,1119.433170111677,32.49916809061522
19,134.44184382576518,755.2665335088763,42.41573669633304
20,133.55804172810247,757.8638569985383,42.07757610093222
21,182.57479607483856,1056.3537801379132,33.70180065230867
22,182.68865419763975,1100.4986622334736,33.478252577908414
23,135.36325992783733,751.7883213879057,41.83005495250814
24,136.71523538014816,761.4100151657915,41.39210409861958
25,168.55082368269768,994.3278893775303,36.33815686499738
