Solution,Power,Latency,Cost
0,134.3007891507167,759.8851486937987,43.55881576809008
1,136.62898336369383,773.6109662579568,41.466416726921345
2,144.38788631599397,751.00834361416,44.86119764232215
3,135.33258244779347,789.5121648309605,41.57534931409762
4,134.14437965156154,757.331357511892,44.35952862517284
5,131.45123076710198,763.5347260566056,42.191850441658595
6,146.589262039364,726.6481631835379,44.881020657278455
7,139.58155346957275,750.2761644915319,45.30470231237092
8,141.2865816436363,736.3743788175469,45.04389260053452
9,137.05253469511024,753.1004708990884,43.16882695202994
10,134.81723977255467,756.8936710655398,43.760020463689784
11,142.4466885518785,730.2036750201305,47.91676392788758
