Solution,Power,Latency,Cost
0,128.6224106945711,750.5910664054495,39.841476113809215
1,132.67488524666376,708.3089779845326,41.80278106563366
2,134.62188068819006,703.1064775890026,43.23428417536584
3,134.7769699372059,708.1537563248452,42.9891538593155
4,136.43931990339613,700.8287617382935,43.510075450008344
5,134.77721860476632,702.9103239247297,42.997623869938735
6,136.47961046114781,701.9383648296453,43.44203842063565
7,129.6934783836245,735.7879458573952,41.06607844287456
8,129.52166419341916,739.171954483659,41.10376053338011
9,136.82791274999266,693.0965041139204,43.849385878705284
10,130.3054756162145,749.9616084414964,38.93356857135338
11,129.15044983192777,756.0777027554888,39.6452520208218
12,129.75318755236867,747.5912901243875,39.74793866376461
13,129.66495588987766,753.8797658592828,39.73613239454012
14,130.31865422980587,742.3806311388057,39.70356560797508
15,132.56153025392,709.8829010468463,42.25615149096167
16,129.37093339996238,754.3811834615142,39.606785639778764
17,127.673204377826,759.625542757442,38.41327034764529
18,128.22791447366228,758.4519698747588,38.93048883460336
19,133.01494894292748,741.233051254001,39.12848380200939
20,130.76916137820152,727.6219783302728,40.73933297902251
21,129.50009127619722,733.8878048626386,41.2632282310744
22,139.9054136799088,712.7318028514724,41.482707297915255
23,134.16756032954228,717.7085495820496,39.97065128198147
24,130.91478760699368,724.9985932648566,39.23611156261487
25,133.72568669013486,716.1727837427866,41.22877984380316
26,132.22743486798944,713.4218452690845,41.75069050208807
27,140.492791844399,698.3847526034228,42.90865507244255
28,140.25042615233238,684.456616703191,44.54395176767961
29,140.79062917516737,693.4093112163422,42.568552601097686
30,137.12742100963834,691.0679231958652,43.261678018988476
31,143.25846911805232,668.8101568090423,44.0355873317755
32,131.59537763989357,742.5505298307652,39.03969903390422
33,130.21564014002186,744.0707020660691,39.188109520428824
34,131.56944894811394,749.1680504036091,38.92131186103715
