Solution,Power,Latency,Cost
0,136.24864009609186,767.6600649045747,45.519229884974365
1,136.24864009609186,767.6600649045747,45.519229884974365
2,136.35966586823196,768.9604189260857,42.031891237869566
3,132.88197124436763,779.4819824830321,42.75220798325745
4,141.722567351833,738.1555261630298,46.81719582682185
5,156.54998799618764,723.8570299781611,47.726092471255676
6,134.27377821845226,770.1463472970012,41.85075977806239
7,138.54448326496615,739.4883996869528,45.530862429307454
8,136.25988375808814,753.6367942108755,43.57418130801264
9,137.66147665751004,755.8863449290251,43.02366954049387
10,149.94204833781328,747.9107639770773,45.19292571121282
