Solution,Power,Latency,Cost
0,136.54787097169782,748.1857798775155,43.97064976438826
1,136.54787097169782,748.1857798775155,43.97064976438826
2,135.00611779464157,754.1303456270014,42.74504545191001
3,144.30338695382383,752.6859090670284,43.08024833879402
4,154.5486250721046,713.9538884895171,47.36835980986317
5,134.4781594649473,782.068322887658,42.05840405096393
6,144.1100401279488,737.618847552989,45.240604210344266
7,134.97021402544834,754.1387293529297,40.7532925709611
8,132.24417036401766,786.4328947387304,43.5475128551438
