Solution,Power,Latency,Cost
0,137.69740186035182,756.669889870784,45.89289002541488
1,139.10176966813916,728.1051689999462,44.79863321263276
2,132.86204950069526,770.5206939491513,42.24214247733798
3,132.23003606009507,783.5605634899961,39.96641864910889
4,138.54025416373054,760.1620761101084,42.58110764501579
5,139.87115397794256,751.6779683226057,43.056929160682316
6,141.96940586895667,724.4724729877037,45.447384762600485
7,148.5728122406735,747.9673993608995,44.647185642872316
8,135.5666795614656,773.2506077741044,41.77625354640527
9,134.5496819225539,761.8336171811517,42.983990485440636
10,130.225226042247,776.9554290472452,41.19814371999865
