Solution,Power,Latency,Cost
0,145.23931909690728,757.2888140611068,41.88926632357661
1,135.7528842575891,764.0913113793654,42.364412559675216
2,146.3011093181619,731.4298875979464,46.89937630619406
3,142.58912947852582,751.1677461159779,44.09452689609518
4,152.68202504985604,737.7208386787986,45.376687290117324
5,136.02565352227842,757.0065035558616,45.570320132222506
6,138.34840771190295,761.7923247574524,43.24817407373899
7,135.5596273492301,760.7259267616422,44.36260598427102
8,134.48402260117604,779.3600104274702,42.8663586824556
9,140.38938954342115,763.4477228069024,41.8685942826769
10,152.0450675405441,749.4205965988427,44.667020528905454
11,138.97118555351403,747.3443983030986,44.78316912334884
12,136.2885891433217,761.1860409205065,44.22598652766215
13,142.71349525769892,754.1364278620056,43.31872128306633
14,134.12169606520976,775.9182116007513,45.04274604145536
15,143.14947639273143,745.6987719303934,46.612864748757914
16,139.3419617039707,808.3314594389443,42.17935479502233
17,139.61077834274278,788.5992358534021,41.49508227869262
18,135.57168837007973,781.4065512787984,42.3089996070125
