Solution,Power,Latency,Cost
0,134.58287000304185,795.2138766076869,40.98652700844954
1,139.60855681236032,764.3087619507877,41.5930916616843
2,136.51334601672107,741.3982335945504,43.52890199139368
3,141.34087486239756,777.1603096326149,41.42940292013581
4,133.45593861396972,811.9580555455934,41.85434184695569
5,136.2488198745935,756.3836089577031,45.09985480188495
6,134.26734173198687,768.1638502557743,42.906754830745825
7,137.26580071562458,777.581392502044,42.576763647879325
8,133.82939896130415,768.1718002024829,44.147656787945344
9,144.7469232099406,734.9734561706792,45.79740004574894
10,139.48475956792475,752.3145467792757,43.02125119515381
11,145.30554743014443,739.2368004850272,44.44685504867721
