Solution,Power,Latency,Cost
0,133.54620258746823,739.4650993426754,42.382695513391475
1,133.54620258746823,739.4650993426754,42.382695513391475
2,149.0997212053296,728.2456970177581,49.14148299824732
3,134.62518443449835,769.0280770033106,42.00291786461602
4,135.21742187400153,790.9311098096853,41.05382860902895
5,136.38035982579981,738.2302189586244,45.92774644087869
6,135.8775930650035,776.0657049996573,41.935636995701614
7,154.2162573558435,735.8428567377957,45.56907154611947
8,133.34710960851143,775.644033911021,42.064520098288426
9,150.43412795970752,736.4617724536497,44.152565393309125
