Solution,Power,Latency,Cost
0,150.70892684295384,692.6434924182885,45.07470723997091
1,131.86149375273902,725.3576873698079,39.61673076421307
2,137.8135225858338,702.2997346466595,43.827981552774816
3,149.72787408778146,693.3976434819626,43.842605938892454
4,132.09128272675923,739.1734557318116,38.58708073535559
5,142.51283635119194,694.2396361575693,42.37042704701484
6,133.16949789345082,706.5563042148569,41.920957705412626
7,130.3751697809317,710.6470626236469,40.65427628115621
8,130.13740367768216,715.0393804039333,40.265460129903985
9,131.94720003781725,714.544019268561,40.41992991804114
10,127.32716885029005,757.2541094113199,38.12732783754314
11,128.69171886977884,759.105134277813,37.93716056063857
12,133.54223537962002,734.0137322254851,38.909216162912266
13,128.06003212623293,741.9731104058192,38.46696467483434
14,149.34145889597144,693.7603482538428,44.79265318767128
15,151.3668714095811,682.79909474152,45.265611554414384
16,130.2592578918046,724.540742781192,39.74662845340866
17,133.60651484656728,704.6024873957111,41.024969261210714
18,134.8508949514676,703.8503322860386,42.18095552591098
19,126.63805675879671,743.2248520258124,38.42677580095175
20,127.6929007448656,744.0766458648447,38.31284606779561
