Solution,Power,Latency,Cost
0,132.82954445738267,733.4553636602867,43.03942160570477
1,130.71549882443048,795.9501514611827,37.16116567185746
2,135.04624441734168,723.6762212715056,42.7028949240172
3,131.771506410596,741.6886660744632,39.32956764844458
4,129.38389356093143,744.6776864017112,39.54824678967761
5,142.70252858100878,709.1749270844405,44.28444481122314
6,144.86195738848087,702.6321666024605,45.03913833793987
7,146.32701612403577,699.9457329082135,45.33765515655094
8,134.86296028169272,706.3542052806499,45.09479765861133
9,140.41082388457886,708.67305971837,44.41423027843206
10,134.18284519658073,725.9693356220514,43.45313747168905
11,142.53162955820858,713.8213768629753,44.18783813522301
12,133.54899278602352,737.6098973269242,39.85327574803609
13,134.31277833591307,715.4793113852644,43.320032710696765
14,136.12932634402324,736.3257193347931,40.1569015436985
15,129.33065849526562,744.8937033272763,38.98632381506907
16,129.85197960400717,744.4605945764906,38.99385221054144
17,138.33203989557663,721.0606126134794,42.74054733881434
18,139.25085845998845,725.9101115797312,41.814668161863565
19,128.9029434887307,757.102829458715,39.681414643909704
20,133.00279189636368,726.1978096699264,40.81249991460795
21,131.09925288334108,741.7519454166318,40.33498621255415
22,128.20141678895718,773.5436819963102,38.34196526997639
23,128.27568060066696,776.431964611503,38.270788891931026
24,127.64345747489271,776.517972881974,37.593289048571805
25,136.3940507544366,733.6383316639785,40.81134122473622
26,145.01171362651436,705.1224914274055,44.809168639162536
27,146.41125144165358,703.2888900934588,45.00458778028241
28,144.6454687708361,706.8807323930567,44.75599857270998
29,129.34319527994103,752.0628757593948,38.89642509004987
30,130.83392007971557,753.4007484868622,38.86116999754446
31,127.36156945639704,758.6390601334981,38.53961895827522
32,132.63642033266325,731.2555506414495,43.23457277531733
33,135.93847874346156,714.7265978569443,43.22320329432668
34,132.2109365271623,739.8200667414527,40.16672005681998
35,133.0681902412678,736.8706394792581,40.28400280290943
36,131.54572162076363,738.0131047583465,40.21594872010663
37,131.5167863100125,733.6426943180131,40.42086288808144
38,134.91760918326628,735.4974307955217,40.31771443845263
