Solution,Power,Latency,Cost
0,144.28334859669593,678.404479385829,46.70275825132514
1,140.16796877166976,687.1194688041644,45.87516979731481
2,132.63787895353576,715.7354526559097,41.35525937300111
3,143.4160781642278,702.8198575570002,42.13662664009855
4,143.41347550562136,698.2710488610745,43.78857678308682
5,141.07488973333952,787.3527772615968,39.540617031383796
6,131.41256446825952,735.2050553118419,41.91092447149752
7,133.27051885111837,706.2367025960067,41.97779579694382
8,130.1619002438686,760.050828281994,40.99793599636857
9,130.32005134693574,758.3576390747023,41.33313175446495
10,131.7923514194689,754.8594347811639,40.173777808944315
11,130.6613191092833,737.4845431857216,41.23444115167272
12,132.05118073650496,736.6524829540488,41.158905132239674
13,131.45149646083775,736.3075043244816,41.631179330856874
14,135.67898047103722,705.3283703701721,44.88518739981061
15,129.90833219086545,760.6350467198497,40.8710257415647
16,128.4408714767932,760.7541366192739,39.686021900926455
17,139.3291531310648,693.7589844368384,44.2815127369855
18,131.65414843599976,718.2607633131668,42.16820298923967
19,147.39865678663566,677.221634492045,46.81999671460806
20,143.41990893419924,686.2267988282225,44.20574804100753
21,136.64474508012734,699.8399709739381,42.39788608131755
22,140.24319750823068,794.7431913395943,39.62452976415957
23,144.28939543390976,699.7862887502857,43.008550025202595
24,130.5901928097414,738.0902673900777,40.64231137045647
25,130.84901460092004,745.0269847951631,40.32288016759913
26,134.45252555045423,729.7476225362013,41.1850277965564
27,130.5768669180304,740.5136343453876,40.56010243376159
