Solution,Power,Latency,Cost
0,140.73988507085284,732.8716846366459,46.99755884044458
1,133.30616900047625,771.2579294529907,41.31724257905363
2,136.8599696472279,749.7890029109602,44.05648699012187
3,139.18503213068038,745.5982296015436,43.26972668045229
4,138.87379842249186,749.4076692293688,45.68490231034495
5,144.1495835254885,744.9978243776221,46.40304829145317
6,132.9385966376425,798.2871732865627,42.840632751477564
7,134.20130406955246,752.1849551275992,43.34402111753599
8,155.70106005173494,707.5214666691954,47.35275335350143
9,135.42084967344934,769.7345153996257,41.6226155391475
10,134.0038048163512,766.7713630667779,42.57763675129396
