Solution,Power,Latency,Cost
0,147.81420811578226,733.0607346971086,45.82865538653252
1,147.81420811578226,733.0607346971086,45.82865538653252
2,134.4813593620848,773.1115340988189,41.0087317233777
3,135.6603161630447,753.1389689428734,45.13198536849813
4,133.18326892003398,789.3743291948367,42.343032786572316
5,134.36520542317913,754.7087506071807,42.49059030376626
6,132.907284183345,774.2420574533392,42.45498555958093
7,146.43513646575798,730.9144988726249,48.07655585309142
8,148.15670885507143,730.3450656123343,44.39356633308481
9,136.80698728302147,751.0279505875045,44.10234864457317
10,135.55446956693567,753.6633339988657,44.44981643662199
11,135.3820623726006,756.9700399991714,42.13774933707256
12,145.05815684165114,742.1980423687188,44.98890087535101
13,141.14987878525778,745.8493530021411,45.72921001279152
