Solution,Power,Latency,Cost
0,143.32791814260673,731.7610126636724,44.990650483351565
1,143.32791814260673,731.7610126636724,44.990650483351565
2,136.97496629694544,753.6079661859621,46.229713144106434
3,131.4210321759205,758.391230959369,39.683109380775264
4,141.2350931901536,747.4696654542277,42.776214701317706
5,143.6123585724202,719.0683467553507,45.189492502012506
6,135.2388809821465,758.0312146594104,44.61792015326001
7,137.49185754019754,737.2636675017923,44.22412198855984
8,149.2664386737305,738.9127613365285,43.73578892721263
9,138.34748548633866,755.922306079555,44.14639788241797
