Solution,Power,Latency,Cost
0,142.20552931505478,739.2355966842331,44.75874691100773
1,142.20552931505478,739.2355966842331,44.75874691100773
2,133.63610511741746,783.1079739166563,43.027508586778445
3,144.48806912107145,754.791307823033,41.24776782556992
4,134.52774744341437,775.7801558812349,43.65391249580543
5,142.48323814661117,740.5926736105046,44.00890601592678
6,135.49944205611695,757.3682117908131,43.429253722929346
7,133.91255909240766,789.2634507193205,42.126895586877936
8,140.89363155861042,758.6994571616126,43.393273315816764
9,142.75617800892405,760.2493901961475,42.59614451915636
10,139.97427767234294,754.5524570532505,43.685192374589555
11,135.39296683598886,760.7107501001384,42.19972895851423
12,140.8941324421126,745.1278842826981,43.60859663434441
13,139.77816503801634,738.0020561722055,47.10837473555446
14,138.46977351411664,753.6049346657564,45.09782580708665
